dataset,instance_index,source_file,dimension,status,tour_cost,scaled_tour_cost,runtime_seconds,seed,error
ctrl,0,/workspace/project/data/ATSP_data/Ctrl_ATSP_data/instance_0000.pt,250,ok,1.897584998513139,1897585,1.144289032992674,1234,
ctrl,1,/workspace/project/data/ATSP_data/Ctrl_ATSP_data/instance_0001.pt,250,ok,1.7116339970561967,1711634,1.7483744810015196,1235,
ctrl,2,/workspace/project/data/ATSP_data/Ctrl_ATSP_data/instance_0002.pt,250,ok,1.7622120001906296,1762212,1.3155102529999567,1236,
ctrl,3,/workspace/project/data/ATSP_data/Ctrl_ATSP_data/instance_0003.pt,250,ok,1.7831280008576869,1783128,1.2110996119881747,1237,
ctrl,4,/workspace/project/data/ATSP_data/Ctrl_ATSP_data/instance_0004.pt,250,ok,1.6789830029783843,1678983,1.2566327650129097,1238,
ctrl,5,/workspace/project/data/ATSP_data/Ctrl_ATSP_data/instance_0005.pt,250,ok,1.8156589948557667,1815659,1.4525716860080138,1239,
ctrl,6,/workspace/project/data/ATSP_data/Ctrl_ATSP_data/instance_0006.pt,250,ok,1.9284070020148647,1928407,1.4378003330057254,1240,
ctrl,7,/workspace/project/data/ATSP_data/Ctrl_ATSP_data/instance_0007.pt,250,ok,1.8335139998525847,1833514,1.3337546159891644,1241,
ctrl,8,/workspace/project/data/ATSP_data/Ctrl_ATSP_data/instance_0008.pt,250,ok,1.7165940013983345,1716594,1.129200964991469,1242,
ctrl,9,/workspace/project/data/ATSP_data/Ctrl_ATSP_data/instance_0009.pt,250,ok,1.8332250015082536,1833225,1.5436277409899049,1243,
ctrl,10,/workspace/project/data/ATSP_data/Ctrl_ATSP_data/instance_0010.pt,250,ok,1.677424996443051,1677425,1.1625051940063713,1244,
ctrl,11,/workspace/project/data/ATSP_data/Ctrl_ATSP_data/instance_0011.pt,250,ok,1.717384000243328,1717384,1.3225672749977093,1245,
ctrl,12,/workspace/project/data/ATSP_data/Ctrl_ATSP_data/instance_0012.pt,250,ok,1.8496389971733151,1849639,1.2514421340019908,1246,
ctrl,13,/workspace/project/data/ATSP_data/Ctrl_ATSP_data/instance_0013.pt,250,ok,1.8689040043827845,1868904,1.162631954997778,1247,
ctrl,14,/workspace/project/data/ATSP_data/Ctrl_ATSP_data/instance_0014.pt,250,ok,1.6771469971263286,1677147,1.1048887399956584,1248,
ctrl,15,/workspace/project/data/ATSP_data/Ctrl_ATSP_data/instance_0015.pt,250,ok,1.818517003172019,1818517,1.379063115993631,1249,
ctrl,16,/workspace/project/data/ATSP_data/Ctrl_ATSP_data/instance_0016.pt,250,ok,1.9026360012067016,1902636,1.7175995450088521,1250,
ctrl,17,/workspace/project/data/ATSP_data/Ctrl_ATSP_data/instance_0017.pt,250,ok,1.6345170002596205,1634517,1.2251577169954544,1251,
ctrl,18,/workspace/project/data/ATSP_data/Ctrl_ATSP_data/instance_0018.pt,250,ok,1.9300560074425448,1930056,1.2795055820024572,1252,
ctrl,19,/workspace/project/data/ATSP_data/Ctrl_ATSP_data/instance_0019.pt,250,ok,1.6550829970288987,1655083,1.4516427839989774,1253,
ctrl,20,/workspace/project/data/ATSP_data/Ctrl_ATSP_data/instance_0020.pt,250,ok,2.0028489959295257,2002849,1.4352588640031172,1254,
ctrl,21,/workspace/project/data/ATSP_data/Ctrl_ATSP_data/instance_0021.pt,250,ok,1.571414998446926,1571415,1.370584696996957,1255,
ctrl,22,/workspace/project/data/ATSP_data/Ctrl_ATSP_data/instance_0022.pt,250,ok,1.9772479953462607,1977248,1.5130099119996885,1256,
ctrl,23,/workspace/project/data/ATSP_data/Ctrl_ATSP_data/instance_0023.pt,250,ok,1.8388039932306128,1838804,1.2911372680100612,1257,
ctrl,24,/workspace/project/data/ATSP_data/Ctrl_ATSP_data/instance_0024.pt,250,ok,1.811177002844488,1811177,1.1360242340015247,1258,
ctrl,25,/workspace/project/data/ATSP_data/Ctrl_ATSP_data/instance_0025.pt,250,ok,1.7920729980214674,1792073,1.0690894220024347,1259,
ctrl,26,/workspace/project/data/ATSP_data/Ctrl_ATSP_data/instance_0026.pt,250,ok,1.7726420017279452,1772642,1.3492401469993638,1260,
ctrl,27,/workspace/project/data/ATSP_data/Ctrl_ATSP_data/instance_0027.pt,250,ok,1.9327739983418724,1932774,1.3482081159891095,1261,
ctrl,28,/workspace/project/data/ATSP_data/Ctrl_ATSP_data/instance_0028.pt,250,ok,1.7037840006105398,1703784,1.3800730280054267,1262,
ctrl,29,/workspace/project/data/ATSP_data/Ctrl_ATSP_data/instance_0029.pt,250,ok,1.8759720012867547,1875972,1.25578317399777,1263,
ctrl,30,/workspace/project/data/ATSP_data/Ctrl_ATSP_data/instance_0030.pt,250,ok,1.7253170078256517,1725317,1.2579713400045875,1264,
ctrl,31,/workspace/project/data/ATSP_data/Ctrl_ATSP_data/instance_0031.pt,250,ok,1.7784289971896214,1778429,1.1317669349955395,1265,
ctrl,32,/workspace/project/data/ATSP_data/Ctrl_ATSP_data/instance_0032.pt,250,ok,1.8149029952455749,1814903,1.3409739710041322,1266,
ctrl,33,/workspace/project/data/ATSP_data/Ctrl_ATSP_data/instance_0033.pt,250,ok,1.7629350031543254,1762935,1.2164144139969721,1267,
ctrl,34,/workspace/project/data/ATSP_data/Ctrl_ATSP_data/instance_0034.pt,250,ok,1.8530860021492117,1853086,1.1351821349962847,1268,
ctrl,35,/workspace/project/data/ATSP_data/Ctrl_ATSP_data/instance_0035.pt,250,ok,1.8168400042923167,1816840,1.2997893190040486,1269,
ctrl,36,/workspace/project/data/ATSP_data/Ctrl_ATSP_data/instance_0036.pt,250,ok,1.7925249997551873,1792525,1.3349597810010891,1270,
ctrl,37,/workspace/project/data/ATSP_data/Ctrl_ATSP_data/instance_0037.pt,250,ok,1.6117950019724958,1611795,1.6513918220007326,1271,
ctrl,38,/workspace/project/data/ATSP_data/Ctrl_ATSP_data/instance_0038.pt,250,ok,1.7544789952444262,1754479,1.313780743003008,1272,
ctrl,39,/workspace/project/data/ATSP_data/Ctrl_ATSP_data/instance_0039.pt,250,ok,1.9259889929453493,1925989,1.573866844002623,1273,
ctrl,40,/workspace/project/data/ATSP_data/Ctrl_ATSP_data/instance_0040.pt,250,ok,1.7178279994950572,1717828,1.340273153007729,1274,
ctrl,41,/workspace/project/data/ATSP_data/Ctrl_ATSP_data/instance_0041.pt,250,ok,1.8145240034336894,1814524,1.1145230129914125,1275,
ctrl,42,/workspace/project/data/ATSP_data/Ctrl_ATSP_data/instance_0042.pt,250,ok,1.6851740012734808,1685174,1.492969268001616,1276,
ctrl,43,/workspace/project/data/ATSP_data/Ctrl_ATSP_data/instance_0043.pt,250,ok,1.6773109988339456,1677311,1.2470549530116841,1277,
ctrl,44,/workspace/project/data/ATSP_data/Ctrl_ATSP_data/instance_0044.pt,250,ok,1.75262499132441,1752625,1.5459016769891605,1278,
ctrl,45,/workspace/project/data/ATSP_data/Ctrl_ATSP_data/instance_0045.pt,250,ok,1.8649929951079685,1864993,1.1740939290029928,1279,
ctrl,46,/workspace/project/data/ATSP_data/Ctrl_ATSP_data/instance_0046.pt,250,ok,1.7560470007983895,1756047,1.2711997549922671,1280,
ctrl,47,/workspace/project/data/ATSP_data/Ctrl_ATSP_data/instance_0047.pt,250,ok,1.771394003113528,1771394,1.0730022269999608,1281,
ctrl,48,/workspace/project/data/ATSP_data/Ctrl_ATSP_data/instance_0048.pt,250,ok,1.8145870016269328,1814587,1.3695938590099104,1282,
ctrl,49,/workspace/project/data/ATSP_data/Ctrl_ATSP_data/instance_0049.pt,250,ok,1.6630369954218622,1663037,1.0658161129977088,1283,
ctrl,50,/workspace/project/data/ATSP_data/Ctrl_ATSP_data/instance_0050.pt,250,ok,1.6863150017779844,1686315,1.3881382110121194,1284,
ctrl,51,/workspace/project/data/ATSP_data/Ctrl_ATSP_data/instance_0051.pt,250,ok,1.898494002633015,1898494,1.261399066002923,1285,
ctrl,52,/workspace/project/data/ATSP_data/Ctrl_ATSP_data/instance_0052.pt,250,ok,1.7057930001501518,1705793,1.2414733520126902,1286,
ctrl,53,/workspace/project/data/ATSP_data/Ctrl_ATSP_data/instance_0053.pt,250,ok,1.80210700574753,1802107,1.3045851770002628,1287,
ctrl,54,/workspace/project/data/ATSP_data/Ctrl_ATSP_data/instance_0054.pt,250,ok,1.8465430012838624,1846543,1.420922329009045,1288,
ctrl,55,/workspace/project/data/ATSP_data/Ctrl_ATSP_data/instance_0055.pt,250,ok,1.815094998000859,1815095,1.6155666799895698,1289,
ctrl,56,/workspace/project/data/ATSP_data/Ctrl_ATSP_data/instance_0056.pt,250,ok,1.6041179980870766,1604118,1.3270044219971169,1290,
ctrl,57,/workspace/project/data/ATSP_data/Ctrl_ATSP_data/instance_0057.pt,250,ok,1.8012580060822074,1801258,1.2130708890035748,1291,
ctrl,58,/workspace/project/data/ATSP_data/Ctrl_ATSP_data/instance_0058.pt,250,ok,1.9285940025183663,1928594,1.3427848529972835,1292,
ctrl,59,/workspace/project/data/ATSP_data/Ctrl_ATSP_data/instance_0059.pt,250,ok,1.7376669958139246,1737667,1.3745365170034347,1293,
ctrl,60,/workspace/project/data/ATSP_data/Ctrl_ATSP_data/instance_0060.pt,250,ok,1.752419004769763,1752419,1.486272251990158,1294,
ctrl,61,/workspace/project/data/ATSP_data/Ctrl_ATSP_data/instance_0061.pt,250,ok,1.7939419979420563,1793942,1.2520194670069031,1295,
ctrl,62,/workspace/project/data/ATSP_data/Ctrl_ATSP_data/instance_0062.pt,250,ok,1.760727987100836,1760728,1.4577556389995152,1296,
ctrl,63,/workspace/project/data/ATSP_data/Ctrl_ATSP_data/instance_0063.pt,250,ok,1.9860000000044238,1986000,1.3834668010094902,1297,
